Проект,,Плеер youtube,
Дата,,27.10.2024,
Тестировщик,,А. Рощина,
Предусловия,,-,
Окружение,,"Safari 17.4.1 (19618.1.15.11.14), разрешение экрана 1280Х800",
Вид тестрования,,Smoke,
Номер,Проверки,Статус,Комментарий
ЧЛ-1,"При клике по кнопке ""Смотреть"" видео начинает воспроизвоиться",-,
ЧЛ-2,"При клике по кнопке ""Пауза"" видео останавливается",-,
ЧЛ-3,"При клике по кнопке ""Звук"" звук отключается",-,
ЧЛ-4,"При повторном клике по кнопке ""Звук"" звук включается",-,
ЧЛ-5,"При наведении на кнопку ""Звук"" появляется бегунок для регулирования громкости",-,
ЧЛ-6,При перемещении бегунка громкости влево звук становится тише,-,
ЧЛ-7,При перемещении бегунка громкости вправо звук становится громче,-,
ЧЛ-8,"При клике по кнопке ""Скорость воспроизведения"" в Настройках появляется выпадающий список вариантов скорости воспроизведения",-,Варианты: 0.25 ; 0.5; 0.75; Обычная; 1.25; 1.5; 1.75; 2
ЧЛ-9,При изменении скорости воспроизведения на 0.5 видео начинает воспроизводиться медленнее,-,
ЧЛ-10,При изменении скорости воспроизведения на 2 видео начинает воспроизводиться быстрее,-,
ЧЛ-11,"При клике по кнопке ""Качество"" в Настройках появляется выпадающий список вариантов качества видео",-,Варианты: 1080p; 720p; 480p; 360p; 240p; 144p; Автонастройка
ЧЛ-12,"При выбре разного качества видео изменяется качество отображения, и скорость загрузки",-,"При 1080р и 720р лучшее качество и самая медленная скорость загрузки
При 480р и 360 р среднее качество, нормальная скорость загрузки
При 144р и 240р плохое качество (пиксели видны) и самая высокая скорость загрузки"
ЧЛ-13,При открытии отображается режим просмотра по умолчанию,,
ЧЛ-14,"При клике по кнопке ""Широкий экран"" плеер разворачивается на всю ширину экрана",,"При клике по кнопке ""Режим просмотра по умолчанию"" плеер сворачивается в режим просмотре по умолчанию"
ЧЛ-15,"При клике по кнопке ""Во весь экран"" Плеер разворачивается на весь экран",-,"При клике по кнопке ""Выход из полноэкранного режима"" плеер сворачивается в режим просмотра по умолчанию"
ЧЛ-16,Наличие возможности включить субтитры ,-,"- если в видео есть возможность включить субтитры, они включаются и тотбражаются
- если в видео нет возможности включить субтитры кнопка неактивна"